time	text
00:48:11.120	 fucking motherboard or whatever and said the controller like warped and served doing like weird shit
00:48:16.880	 like it would just have me jump even when I wasn't jumping it had a bunch of ghost presses
00:48:24.480	 oh this is a fuck man
00:48:30.960	 that controller probably sucked as to though because it was like a Minecraft controller
00:48:41.440	 I think on this map you want to sandbag
00:48:48.320	 but I'm scared to just like straight up slow down
00:49:00.000	 I need something that can actually protect me on the last lap
00:49:30.320	 goal and mushroom I'm just gonna get lightning and I'm not related
00:49:43.440	 I popped this hurly
00:49:52.480	 I suck at saying that
00:50:00.000	 and I miss those items.
00:50:06.000	 Get them!
00:50:09.000	 I'll take 10th.
00:50:12.000	 This is basically maybe part of you.
00:50:17.000	 It's just, if you're in the front at the beginning of that map,
00:50:20.000	 it's just too likely that something terrible is going to happen on my pain.
00:50:25.000	 And then you get hit and everyone behind you has like a ton of
00:50:28.000	 fucking crazy shit.
00:50:45.000	 My power, my girl. There's like always a fucking storm in the lead.
00:50:59.000	 If my power does go out, all, all, all just start stream one in the power goes back up.
00:51:09.000	 Probably not.
00:51:12.000	 Hiya, eight. Thanks for so.
00:51:18.000	 I love the mountains. You're in storming the mountains all the time.
00:51:24.000	 Like every fucking day.
00:51:27.000	 There's either a storm here or there's a storm like right next to me.
00:51:34.000	 That just barely misses.
00:51:36.000	 It's weird.
00:51:38.000	 It only happens like...
00:51:42.000	 two hours in the day.
00:51:44.000	 And then the rest of the day it's either like fly-in.
00:51:57.000	 Did you see that? Whereabouts?
00:52:00.000	 to get hit by a super heat wave that's gonna kill a bunch of people with humidity.
00:52:05.000	 Um, no.
00:52:10.000	 It's just humidity.
00:52:15.000	 They just say the drink will happen.
00:52:24.000	 Whenever I look at the weather channel now, it's always like huge storm kills everyone.
00:52:29.000	 They're trying to click bait me, I think.
00:52:34.000	 I don't think it's quite as bad as they say.
00:52:59.000	 I'm sure it's just a bit of a mess.
00:53:09.000	 I'm sure it's just a bit of a mess.
00:53:14.000	 I'm sure it's just a bit of a mess.
00:53:23.000	 Define humidity.
00:53:25.000	 It's that stickiness outside.
00:53:28.000	 That hugs your face.
00:53:38.000	 Okay, happy to see you.
00:53:47.000	 Can't use a get.
00:53:52.000	 I'm sure it's just a bit of a mess.
00:54:00.000	 That insane could only got me 13th Jesus Christ.
00:54:24.080	 God furs with a golden from 12th.
00:54:26.240	 Hey, that's good man.
00:54:30.000	 That was sick. That actually worked.
00:55:00.000	 See, like that doesn't even make you go faster. That's just random trick shit. Like we're playing Tony Hawk.
00:55:18.640	 It's so weird that they put that in the game.
00:55:30.000	 Clint, are you here to stay forever? No.
00:55:34.000	 You motherfuckers picked freaking moomu meadows over whistle-top summit.
00:55:46.000	 I guess it was random because it's a three-leaf rare.
00:55:52.000	 I don't know how to play this man.
00:55:54.000	 I don't know the way that you play regular moomu meadows.
00:56:00.000	 and
00:56:07.000	 it's a game grind on the side
00:56:10.000	 and
00:56:20.000	 all I thought that all of a
00:56:25.000	 the
00:56:32.000	 it just started storming outside
00:56:35.000	 again here the rain
00:56:36.000	 this should as a weird
00:56:39.000	 that's all
00:56:43.000	 that's cool that guy's in second place he just happens to have a boost somehow he
00:56:49.000	 makes some crazy fucking pool shot with his green shell that he threw 15 minutes ago
00:56:59.000	 another guy with a boo
00:57:01.000	 he's got this chicken
00:57:04.000	 two ok
00:57:08.000	 that was so weird I actually did a standing drip when I didn't mean to you and actually kind of work
00:57:18.000	 it looked like a hit-up
00:57:20.000	 we're fucked
00:57:22.000	 we seriously are fucked
00:57:24.000	 we have no items
00:57:26.000	 we're with all the people with a million fucking items
00:57:30.000	 look at this shit
00:57:32.000	 I'm in 23rd
00:57:34.000	 uh
00:57:40.000	 we need to go man
00:57:48.000	 what
00:57:52.000	 I thought I got an item where the fuck did the item go
00:57:56.000	 thank you Daisy for not adding my life there
00:58:00.000	 I had one more item I could have got into the points there.
00:58:13.600	 That's unfortunate.
00:58:17.520	 Considering how dire it looked, it wasn't terrible.
00:58:27.600	 I can get middle of the pack first and locate it.
00:58:38.160	 I like the bat.
00:58:39.160	 I still don't have the bat.
00:58:41.880	 The bat unlocks.
00:58:51.160	 I'm gonna do a couple more and I'm gonna do time trial.
00:59:01.160	 We insolure on the discord.
00:59:22.920	 Why?
00:59:52.440	 If you block someone in chat, what is this?
01:00:00.000	 I'm not sure if I can do this.
01:00:02.000	 My position is kind of weird.
01:00:04.000	 I look at all these news.
01:00:08.000	 Do it in the fucking path.
01:00:12.000	 What?
01:00:26.000	 Dude, come on.
01:00:28.000	 That's fucked up.
01:00:30.000	 I'm gonna get you.
01:00:32.000	 Oh my god, get off my path.
01:00:35.000	 Look at this shit.
01:00:37.000	 I hate them.
01:00:38.000	 I will catch up to you, fucks.
01:00:40.000	 I promise you.
01:00:42.000	 I promise.
01:00:44.000	 I promise.
01:00:46.000	 This salty run back.
01:00:57.000	 I can eat, no.
01:01:14.000	 I gotta say that.
01:01:16.000	 I have to say that.
01:01:26.000	 I promise.
01:01:32.000	 I promise.
01:01:34.000	 I promise.
01:02:00.000	 I might be fucked.
01:02:08.000	 I can't use a mushroom here on this turn.
01:02:12.320	 And then the bullet bill hits me.
01:02:13.760	 Oh my god.
01:02:15.760	 Oh my god.
01:02:19.120	 I didn't go for anything at the end.
01:02:29.520	 The problem was I got bumped to the point where I was like pointed in the grass.
01:02:35.000	 It's like I gotta go for it.
01:02:37.360	 As in like I gotta just jump across.
01:02:39.200	 I don't know the choice.
01:02:45.520	 The problem was any time I was about to be in a position where I could like front run,
01:02:50.120	 I got just fucked by shit.
01:02:53.600	 At that part of the first lap, I was almost in such an insane
01:02:59.320	 spot and then some guy came in a nowhere and hit me with like a star.
01:03:07.960	 Another thing too was you really want to greed and have a mushroom for that final turn.
01:03:13.760	 Because there's not really another spot where you can use it in the same way.
01:03:18.240	 Because that jump across like mushroom doesn't save that much more time over just jumping
01:03:21.520	 on the wall.
01:03:22.520	 So like you want to save it.
01:03:28.520	 You gotta use it here.
01:03:34.480	 But when that lightning hit, whatever item I had I lost, which fucked me, I really needed
01:03:40.480	 one more item.
01:03:42.080	 Because you don't get any more, if you take the fast path you don't get any more items.
01:03:47.200	 And retrospects.
01:03:49.040	 No, I don't know.
01:03:50.880	 I still think I did the right thing.
01:03:56.760	 With all the carnage that happened, I still got like 13th or 14th.
01:04:00.000	 and that was with like a really bad fun to turn
01:04:05.000	 so
01:04:07.000	 sorry
01:04:16.000	 I guess that thing hit me that was like
01:04:19.000	 I think the dog needs something up for this
01:04:31.000	 raise
01:04:34.000	 I want not sure
01:04:40.000	 I was gambling for mushroom
01:04:51.000	 do you know what the hell are you doing here?
01:04:53.000	 okay
01:05:02.000	 I think she's going
01:05:10.000	 I
01:05:17.000	 I didn't expect
01:05:20.000	 I should start using my item like
01:05:31.000	 like right when there's a new set of items
01:05:36.000	 I
01:05:43.000	 got to have a mushroom for the final turn
01:05:49.000	 hopefully this is something
01:05:53.000	 I
01:05:57.000	 hold the fuck my dress
01:06:00.000	 My no, ultimately helping me.
01:06:02.000	 This has gotta be a mushroom.
01:06:14.000	 I'll take a ball.
01:06:16.000	 Takes.
01:06:30.000	 the
01:06:38.000	 genos been pnm bed lately
01:06:40.000	 i have to give her this heart med that makes it so she pees more
01:06:45.000	 and she's started peeing in my bed sometimes
01:06:58.000	 blaming the dogs it's around my feet
01:07:01.000	 unless i can pee out of my foot it's not me
01:07:05.000	 also she drinks well i told you about the way that she drinks water she like always
